,ATSC4c,ATSC2v,SCH-7,ASP-7,hmin,ETA_BetaP_s,IC1,IC2,SIC2,BIC2,ZMIC1,ZMIC2,MDEO-11,nHeteroRing,n6HeteroRing,nT6HeteroRing,LipinskiFailures,pChemBL
338,0.292444615,437.5542771000001,0.668176084,0.027963774,0.01843502,0.70536,3.7699047269999997,4.655340713,0.838107165,0.798119063,42.04557811,33.97822245,0.0,3,2,2,0,7.05
96,-0.138988768,-260.65056699999997,0.886993936,0.027244156000000002,0.156696299,0.63235,3.1905574210000003,4.0002292960000005,0.698373751,0.647295816,77.45448338,50.61531398,0.0,1,0,0,1,5.3
1893,-0.185731614,453.54463930000003,0.590434546,0.030723695,-0.251877464,0.67857,3.536371012,4.94146788,0.8755481559999999,0.82670846,45.27840338,26.33650164,0.0,3,2,2,0,7.55
70,0.007949621,-218.937456,0.467882006,0.035629693999999996,0.23730017,0.61765,3.026986833,3.796217603,0.807630313,0.7233746259999999,36.90817517,26.40082226,0.0,2,1,1,0,4.89
1705,0.574889255,-370.0060127,0.7376173570000001,0.032573053,0.053395849,0.68519,3.848332367,4.777569011000001,0.8554343940000001,0.8155658090000001,37.13983472,28.38239401,0.166666667,2,2,2,0,6.64
1301,0.126285519,436.89164510000006,1.1991330470000001,0.026488924,-0.038140968,0.675,3.95856294,4.92836744,0.87322697,0.832654387,44.26515873,33.86759458,0.2,3,0,0,0,7.33
312,-0.169308509,-159.7045414,0.737459358,0.028656649,-0.023352922999999998,0.66667,3.96364756,4.763177895,0.8238854059999999,0.7695174309999999,58.05322577,39.15657947,0.5,3,3,3,1,6.72
56,0.106222228,354.0266147,0.8539845340000001,0.027339854,-0.22977857,0.65833,3.735781544,4.628848958,0.833337819,0.764431553,52.61417975,33.19214648,0.5,3,1,1,0,6.73
956,0.39431908,518.2318515,0.758210882,0.02887193,0.073185784,0.7,4.054598171,4.8592088239999995,0.865442553,0.805381758,41.76306343,29.03424244,0.0,3,1,1,0,8.0
1942,0.329130149,-119.3681836,0.484635133,0.030555946,0.13683731400000002,0.65741,3.905444703,4.884168107,0.879303264,0.828552858,40.76167121,27.11156658,0.0,2,2,2,0,5.6
457,0.5355597670000001,-159.44930630000002,0.612060632,0.031759311,0.042439059,0.71739,3.801205059,4.471928095,0.8402834490000001,0.788362618,34.80058082,27.53156857,0.0,3,2,2,0,6.18
687,0.027726998,525.861681,0.475141655,0.03018207,0.10074413800000001,0.69828,4.129236618999999,4.996069293,0.904501358,0.847535835,43.65238052,30.97296166,0.5,3,3,3,0,8.41
1278,-0.11870263800000001,-8.232010618,0.688783721,0.027885245,-0.057113212999999996,0.70833,3.9580674310000004,4.993614958,0.8760052220000001,0.824670857,42.08128151,28.28209638,0.14285714300000002,4,3,3,0,8.22
