ATSC4c,ATSC2v,SCH-7,ASP-7,hmin,ETA_BetaP_s,IC1,IC2,SIC2,BIC2,ZMIC1,ZMIC2,MDEO-11,nHeteroRing,n6HeteroRing,nT6HeteroRing,LipinskiFailures,pChemBL
0.009578455,685.3057242,0.699743869,0.026986892,-0.107054949,0.70192,3.835138111,4.805745652,0.870044672,0.816936471,35.39762228,26.87921491,0,3,0,0,0,6.29
0.11732933,976.8590685,0.65157868,0.027387543,-0.312021369,0.69118,3.643179931,4.758659712,0.805611622,0.768787494,50.31905419,33.23780236,0.166666667,3,3,3,0,7.92
0.198587345,150.8127123,0.807107515,0.027378346,-0.128494819,0.6875,3.8743256,5.041222621,0.83708315,0.802052509,49.49309002,34.34268493,0,4,2,2,0,6.55
-0.154982682,-183.3381116,0.817831049,0.027333912,-0.119328334,0.675,3.407396972,4.355366675,0.712998156,0.667636286,78.84498112,47.68139017,0,4,2,2,1,5.22
0.163606034,932.7454633,0.559373992,0.026529946,-0.289850088,0.66912,3.8549109,4.874885305,0.832178409,0.795343483,48.22970154,35.24763284,0.166666667,2,2,2,0,8.22
0.168119691,-16.30676961,0.528555751,0.030223276,0.132074566,0.66071,4.080947896,5.009702884,0.901903456,0.849848644,39.5347806,27.65801157,0,2,2,2,0,6.07
0.186814456,1084.331069,0.885947058,0.027220316,-0.025490633,0.70161,3.915374432,4.871557895,0.842631861,0.793471317,41.85645601,28.62033045,0,4,2,2,1,8.22
0.038573691,192.0554301,0.61626343,0.02795882,-0.0406113,0.72414,3.955465581,5.027875405,0.895482678,0.839562553,39.57938796,27.51058646,0,5,4,4,0,7.46
0.278413925,448.2217841,0.528844613,0.025580609,0.00951566,0.70192,3.781972088,4.621175543,0.83662962,0.792261732,36.47292752,28.46823256,0,4,4,4,0,7.6
0.316895628,743.4656318,0.556092032,0.027527578,0.03411059,0.70513,4.153467726,5.140319531,0.856719922,0.816621006,52.37437903,36.95037578,0.5,4,4,4,1,7.36
0.345730846,580.9946382,0.537618901,0.026053835,-0.322353946,0.65714,3.656534397,4.654078664,0.775679777,0.744899593,51.7921759,36.20606051,0.166666667,2,2,2,0,7.8
-0.271492351,180.5515285,0.711495975,0.030521545,0.020695363,0.62097,3.78960995,4.838343092,0.833140588,0.786754804,52.32307143,34.62061041,0,3,1,1,1,5.68
0.621256933,356.4331663,0.802719057,0.027141013,0.084007937,0.73958,3.814015604,4.590032591,0.868435816,0.801343634,40.55794415,27.24344047,0,3,1,1,0,6.24
0.381776136,408.6486569,0.722703067,0.028825634,-0.196461365,0.69286,3.556790258,4.763358429,0.782486654,0.747188858,52.05540304,33.50630992,0,5,3,3,0,7.96
0.233527261,-142.7965281,0.786043038,0.030113579,-0.025995188,0.68182,3.878586183,4.868866523,0.77927705,0.736888621,67.93502487,42.71943146,0.125,4,3,3,2,7.19
-0.185690469,144.8176718,0.810986467,0.028400081,-0.125025797,0.66379,3.661226256,4.680832987,0.821135424,0.76893003,47.93613881,29.9043809,0,4,3,3,0,8.37
-1.787822142,-1088.035146,0.33493149,0.033221815,-0.165097548,0.6413,3.679226268,5.137082868,0.721607724,0.706926348,111.9374705,69.66058746,6.471655985,1,0,0,3,2.351639989
0.436965452,67.17780335,0.737310395,0.03046303,-0.032771951,0.68269,3.759761658,4.777569011,0.855434394,0.815565809,36.68439788,28.38239401,0,3,2,2,0,7.66
0.183475071,540.3717948,0.876122175,0.027043446,-0.047313869,0.7037,3.841860947,4.86563451,0.880887107,0.837840045,39.21309465,31.26274138,0,3,2,2,0,8.47
0.455444929,243.9251419,0.620040831,0.030692335,-0.053770784,0.67188,4.029382467,4.861097456,0.844690266,0.802786246,45.18800943,34.93472756,0,3,2,2,0,6.82
-0.115760324,205.3975117,0.526760352,0.030375385,-0.158126783,0.65625,3.717406468,4.63406822,0.809031525,0.752299515,56.3706384,36.52171494,0.650697637,2,0,0,0,6.09
0.035577026,-278.5983275,0.750473686,0.028184696,0.167918568,0.62121,3.308868107,4.035778682,0.72656659,0.670131551,74.87410237,52.42117728,0.5,1,0,0,1,4.64
0.308776043,1040.160202,0.441120964,0.029168264,0.025829318,0.67241,3.817734099,4.865274539,0.845416098,0.80638711,42.70394604,27.43965603,0,3,3,3,0,6.33
0.610203004,344.7538138,1.015643791,0.027308011,-0.093362983,0.6625,4.015725728,5.093139062,0.84885651,0.789485722,58.246279,35.91729297,0.142857143,4,2,2,1,8.92
0.297926953,851.5776088,0.770649104,0.025579344,-0.378764931,0.66912,3.612646511,4.766446791,0.780294296,0.755034875,47.71526867,32.33819962,0.076923077,3,2,2,0,8.36
0.169492324,101.5768834,0.46545183,0.031440398,0.089284481,0.64474,3.506356848,4.16140633,0.848073999,0.774209451,37.38899594,27.26033765,0,2,1,1,0,6.3
-0.560277956,155.7722551,0.596558578,0.029577281,0.080472611,0.66935,4.231207408,4.924969207,0.896777303,0.830414319,42.42356296,33.90989189,0.512992784,3,3,3,0,7.11
0.028844228,171.6538185,0.727106097,0.026820177,0.078893211,0.64,3.844232899,4.624111173,0.857536901,0.811184996,42.89180882,29.91910456,1.074948404,1,0,0,0,6.52
0.436228055,6.015223042,0.58863136,0.02723283,0.066646825,0.70536,4.080350732,4.795580674,0.883771967,0.816913583,40.85220666,30.86414768,0,3,2,2,0,6.68
-0.047857545,436.3517195,0.590434546,0.030723695,-0.274446908,0.70536,3.46851591,4.99170253,0.871468549,0.835112726,41.15708224,25.40722689,0,4,3,3,0,5.27
