nN,ATSC4c,ATSC1v,SpMin4_Bhm,SpMin5_Bhm,SpMin6_Bhm,SpMin7_Bhm,SpMin4_Bhv,SpMin8_Bhv,SpMax3_Bhe,SpMin6_Bhe,SpMin2_Bhp,SpMin4_Bhp,SpMin6_Bhp,SpMax3_Bhi,SpMin7_Bhs,SpMin8_Bhs,C2SP2,SCH-5,SCH-6,VCH-6,nHaaCH,naaCH,SHBint2,SHaaCH,SHother,SaaCH,SaaN,maxHaaCH,maxHCsats,maxHother,maxsNH2,hmin,ETA_BetaP_s,HybRatio,IC3,MDEC-23,MDEC-33,MDEO-11,MDEN-23,MDEN-33,MPC10,piPC6,piPC8,piPC10,nHeteroRing,topoRadius,WTPT-4,WTPT-5,XLogP,pChemBL
7.0,0.43534059700000005,41.46098317,1.699540515,1.5391765569999998,1.2588909659999998,1.249629723,1.7057238609999998,1.142820465,3.6193269089999998,1.051714665,1.873735636,1.6901963919999998,1.441873736,3.649484099,0.91628005,0.908901739,5.0,0.19641855,0.443281021,0.095240177,1.0,1.0,0.0,0.65507405,0.65507405,1.782560469,16.55135857,0.65507405,0.707959853,0.65507405,5.848876197,-0.087673375,0.67857,0.5,5.0005692139999995,12.24787892,8.453352879,0.0,1.277886208,0.0,171.0,6.9531617489999995,8.009504569,8.678879137000001,3.0,7.0,8.435777905,20.87763321,0.54,7.8
7.0,0.229960075,111.5113895,1.712083346,1.5629020230000001,1.530006666,1.249629723,1.72454781,1.162413998,3.796235933,1.290143246,1.934886572,1.717527566,1.5155468,3.8257649739999997,0.97297425,0.93058316,10.0,0.19641855,0.545343094,0.127315192,6.0,6.0,0.0,3.069124449,3.069124449,11.44188015,16.72758229,0.663860899,0.8182376309999999,0.663860899,6.2794219689999995,-0.20027116399999997,0.66667,0.333333333,5.150747374,18.83756563,10.33254152,0.0,1.277886208,0.0,224.0,7.006369652999999,8.050520258999999,8.776849767,3.0,7.0,8.470188722,21.01987035,3.127,8.3
7.0,0.229960075,111.5113895,1.712083346,1.5629020230000001,1.530006666,1.249629723,1.72454781,1.162413998,3.796235933,1.290143246,1.934886572,1.717527566,1.5155468,3.8257649739999997,0.97297425,0.93058316,10.0,0.19641855,0.545343094,0.127315192,6.0,6.0,0.0,3.069124449,3.069124449,11.44188015,16.72758229,0.663860899,0.8182376309999999,0.663860899,6.2794219689999995,-0.20027116399999997,0.66667,0.333333333,5.150747374,18.83756563,10.33254152,0.0,1.277886208,0.0,224.0,7.006369652999999,8.050520258999999,8.776849767,3.0,7.0,8.470188722,21.01987035,3.127,8.52
7.0,0.31309029,37.04757379,1.706828905,1.54053304,1.4167314709999999,1.249629723,1.71859797,1.152003435,3.6199847760000003,1.120983047,1.873876522,1.708758501,1.449113679,3.6507594169999997,0.930379585,0.902358763,5.0,0.19641855,0.443281021,0.095240177,1.0,1.0,0.0,0.6487762189999999,0.6487762189999999,1.802330877,16.62462432,0.6487762189999999,0.696709853,0.6487762189999999,5.863669096000001,-0.121562264,0.6724100000000001,0.529411765,5.0833196780000005,12.85393082,8.453352879,0.0,1.277886208,0.0,178.0,6.954116901,8.010998754,8.684890429,3.0,7.0,8.454160453,20.8770773,0.898,7.2
5.0,0.071680345,128.03537590000002,1.698703088,1.6477486000000001,1.4216438059999998,1.401912251,1.739300813,1.2773671290000002,3.854128442,1.180413381,1.9712781119999998,1.7547372319999999,1.4207390619999998,3.8827316869999997,1.106627165,1.081658002,14.0,0.0,0.352062073,0.106699784,12.0,12.0,0.0,6.680605769,6.680605769,22.85257401,13.49975483,0.663694752,0.7460827879999999,0.663694752,6.346540051,-0.19950319100000002,0.65278,0.17857142899999998,5.306412265,30.89486594,15.57827326,0.0,0.0,0.0,286.0,7.237598449,8.371778977,9.340112792000001,3.0,10.0,8.700604818,14.49884191,4.493,6.58
6.0,0.017645206,181.4679646,1.780104088,1.673250528,1.4886726019999998,1.421570437,1.794571029,1.390722115,3.9012876289999996,1.30310279,1.973514105,1.7930121030000001,1.5290719380000002,3.9229397539999997,1.141221975,1.101582659,14.0,0.096225045,0.537457479,0.16958473100000002,12.0,12.0,0.0,6.8414518939999995,6.8414518939999995,22.94337368,13.55825668,0.666781171,0.768979968,0.666781171,6.418928825,-0.230685282,0.66667,0.166666667,5.565943295,35.53198014,18.11624616,0.0,0.0,0.0,314.0,7.382581246,8.468238442999999,9.369441362,4.0,10.0,8.703742256,17.61554234,3.092,5.88
5.0,0.057783811,75.63204889,1.6676150859999999,1.421665138,1.4023249759999998,1.274726139,1.696938821,1.142027352,3.672847705,1.067938592,1.9658566219999998,1.689578836,1.3775252359999999,3.6954319860000004,1.070380041,0.9264215309999999,9.0,0.0,0.25,0.07462476900000001,7.0,7.0,0.0,4.4225182819999995,4.4225182819999995,12.65990853,13.32999755,0.663694752,0.691466858,0.663694752,6.273238424,-0.08550553,0.66667,0.22727272699999998,5.081417388,23.81075356,14.88834242,0.0,0.0,0.0,257.0,7.201497079,8.35206977,9.320581585,3.0,8.0,8.647269499,14.34200111,1.228,6.42
5.0,0.045544149000000006,74.45606975,1.673648675,1.422560857,1.415722504,1.3899179640000001,1.714913757,1.2627522759999998,3.676638688,1.068398421,1.96638571,1.7177154159999999,1.37778039,3.702630632,1.092103474,1.052099395,9.0,0.0,0.25,0.07462476900000001,7.0,7.0,0.0,4.40249369,4.40249369,12.71157467,13.38006009,0.660032519,0.691466858,0.660032519,6.291259545,-0.12550553,0.6612899999999999,0.260869565,5.159771663,24.91007812,14.88834242,0.0,0.0,0.0,262.0,7.203730988999999,8.354455488,9.323976366,3.0,8.0,8.671683209,14.41379342,1.5859999999999999,6.38
5.0,0.07800601900000001,126.8440196,1.6887604530000002,1.628517725,1.421631134,1.401654876,1.738036427,1.2766226809999999,3.8807756860000002,1.180559888,1.970152549,1.753684856,1.4204947909999999,3.896849383,1.0947857,1.074551861,14.0,0.0,0.318041382,0.09868103,10.0,10.0,0.0,5.622022611,5.622022611,19.53777561,13.56680561,0.659488306,0.74519308,0.659488306,6.394308801,-0.228164504,0.65789,0.17857142899999998,5.413632701,33.09927354,17.45855109,0.0,0.0,0.0,293.0,7.270617293,8.376192904,9.343220417000001,3.0,10.0,8.700938402,14.49982287,3.63,6.36
6.0,0.088477311,92.68218605,1.6876089459999999,1.624481176,1.421628718,1.401606084,1.73700303,1.2760530209999998,3.8368554180000003,1.178416354,1.97041231,1.7537612630000001,1.420448409,3.8747732439999996,1.102899598,1.073352351,11.0,0.0,0.352062073,0.099469968,11.0,11.0,0.0,6.606002847999999,6.606002847999999,20.09719737,17.51452205,0.6686947520000001,0.75628687,0.6686947520000001,6.342095606,-0.19169069100000002,0.66667,0.185185185,5.316941875,30.17623835,15.57827326,0.0,0.0,0.0,286.0,7.237598449,8.371778977,9.340112792000001,4.0,10.0,8.700604818,17.49331652,2.042,5.76
7.0,0.24925728600000002,86.04844898,1.6686526959999999,1.537631168,1.277093252,1.249629723,1.677260814,1.134540686,3.6207914619999997,1.060036846,1.8755462859999998,1.660290223,1.43968551,3.650664779,0.908901739,0.901477772,6.0,0.19641855,0.443281021,0.095240177,1.0,1.0,0.0,0.552749787,0.552749787,1.976154573,16.79001656,0.552749787,0.660250378,0.552749787,5.856206444,-0.007871315,0.66667,0.5,4.95856294,13.44359434,8.453352879,0.0,1.277886208,0.0,161.0,6.950290805,8.005384011,8.667182882999999,3.0,6.0,5.366722544,20.87874501,0.9159999999999999,8.52
7.0,0.15725741699999998,95.15838339,1.553486423,1.427415785,1.249629723,1.198629992,1.559829497,1.134540686,3.619197878,0.99541114,1.8744356,1.5474927369999998,1.4024791890000001,3.649526181,0.9240354120000001,0.7125966090000001,6.0,0.19641855,0.443281021,0.095240177,1.0,1.0,0.0,0.587055343,0.587055343,1.855460128,16.47138013,0.587055343,0.66428162,0.587055343,5.810545287,0.048276644,0.68,0.428571429,4.77159838,11.11448753,8.453352879,0.0,1.277886208,0.0,133.0,6.933986342000001,7.9701424670000005,8.602846453,3.0,5.0,5.365801876,20.88541586,0.2,8.22
5.0,0.06408034,127.26914040000001,1.70001065,1.649342556,1.421645935,1.40195819,1.7423952809999999,1.318106628,3.894138426,1.182991702,1.9827044569999999,1.758812194,1.426362961,3.916674337,1.091129089,1.069661615,13.0,0.0,0.333333333,0.102402546,11.0,11.0,0.0,6.997311582000001,6.997311582000001,17.22094962,13.31058469,0.6921864870000001,0.8163952879999999,0.6921864870000001,6.313587953,-0.196609673,0.65625,0.20689655199999998,5.464626506,32.41083678,16.31641754,0.0,0.0,0.0,298.0,7.281127543999999,8.379684256,9.344549306000001,3.0,10.0,8.701812452,14.50239315,4.974,6.68
7.0,0.20462435,15.53304129,1.586872089,1.5248486959999998,1.249629723,1.248739105,1.606560935,1.134540686,3.6196178139999997,1.031705818,1.874929605,1.5938516980000001,1.43317778,3.649813167,0.928937582,0.9222790609999999,6.0,0.19641855,0.443281021,0.095240177,1.0,1.0,0.0,0.5770553429999999,0.5770553429999999,1.949210128,16.70315035,0.5770553429999999,0.66428162,0.5770553429999999,5.842074212000001,0.030323129,0.68269,0.46666666700000003,4.852045233999999,11.11448753,8.453352879,0.0,1.4545268980000001,0.0,148.0,6.945968875,7.993489426,8.643817927,3.0,6.0,5.366415655,21.18931395,0.59,8.52
7.0,0.23434380100000002,108.5618696,1.719216806,1.6630439719999999,1.538437804,1.249629723,1.728806117,1.189103872,3.79866269,1.297835412,1.936488615,1.7216654359999999,1.525537764,3.827958966,1.042029839,0.951362807,10.0,0.19641855,0.545343094,0.127315192,6.0,6.0,0.0,2.9477373069999997,2.9477373069999997,11.76206199,16.761062300000003,0.656916454,0.7868813379999999,0.656916454,6.290145702999999,-0.212921036,0.66176,0.363636364,5.225498813,19.5242687,9.862371892,0.0,1.277886208,0.0,216.0,7.000576569,8.045304036000001,8.740264553,3.0,8.0,8.465663031,21.00611202,3.907,9.22
7.0,0.23434380100000002,108.5618696,1.719216806,1.6630439719999999,1.538437804,1.249629723,1.728806117,1.189103872,3.79866269,1.297835412,1.936488615,1.7216654359999999,1.525537764,3.827958966,1.042029839,0.951362807,10.0,0.19641855,0.545343094,0.127315192,6.0,6.0,0.0,2.9477373069999997,2.9477373069999997,11.76206199,16.761062300000003,0.656916454,0.7868813379999999,0.656916454,6.290145702999999,-0.212921036,0.66176,0.363636364,5.225498813,19.5242687,9.862371892,0.0,1.277886208,0.0,216.0,7.000576569,8.045304036000001,8.740264553,3.0,8.0,8.465663031,21.00611202,3.907,8.52
7.0,0.28768883300000003,-33.27509598,1.681132865,1.539151065,1.3740487369999999,1.249629723,1.694290404,1.147135313,3.619154458,1.059760405,1.8736796759999998,1.682794575,1.442084538,3.649408665,0.9548627279999999,0.921256218,5.0,0.19641855,0.443281021,0.095240177,1.0,1.0,0.0,0.658758858,0.658758858,1.7955990169999998,16.58256574,0.658758858,0.732265408,0.658758858,5.853766072000001,-0.076423375,0.6875,0.5,4.985767499,11.48949445,8.453352879,0.0,1.359866107,0.0,171.0,6.9531617489999995,8.009504569,8.678879137000001,3.0,7.0,8.435777905,21.17438945,0.5720000000000001,7.92
7.0,0.220466718,41.46098317,1.699550369,1.539112152,1.249629723,1.226825179,1.708270168,1.134540686,3.619752037,1.046969131,1.873936042,1.696375648,1.440748027,3.649832743,0.917179462,0.912417315,5.0,0.19641855,0.443281021,0.095240177,1.0,1.0,0.0,0.656916454,0.656916454,1.7605990169999999,16.523944699999998,0.656916454,0.732265408,0.656916454,5.846781385,-0.098923375,0.67857,0.5,4.985767499,11.69755499,9.109453918,0.0,1.277886208,0.0,174.0,6.954594136,8.017138776,8.690014357999999,3.0,6.0,8.412117211,20.84333002,0.642,8.1
