Smiles,pChEMBL_Value
Nc1cc(C(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,6.68
Nc1ncc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1C(F)(F)F,5.62
CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(C(F)(F)F)c(F)c3)cn2CCN2CCCC(F)(F)C2)CC1,6.0
CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOCC4)n2)CCN(S(C)(=O)=O)C3)cc1,7.37
CCC(=O)N1CC[C@@H](Oc2cnc3ccc(-c4ccc(OC)c(OC)c4)cc3n2)C1,7.14
CC[C@@H]1COCCN1c1nc(-c2cnc(N)cc2C(F)F)nc(N2CCOC[C@H]2CC)n1,6.45
O=c1cc(N2CCOCC2)nc(Cc2nc3ccccc3n2-c2ccccc2)[nH]1,8.1
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1cccc(C2CC2)c1,6.7
Cc1csc2cc([C@H](C)Nc3ncnc(N)c3C#N)c(-c3ccccc3)c(=O)n12,9.1
Cc1cc(C(=O)N2CCC(F)(F)C2)ccc1C1CCCN1C(=O)c1cc(Cl)c(O)cc1O,7.16
CC(C)c1nc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)[nH]c1=O,4.67
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1csc(-c2ccccc2F)n1,6.0
CN(C)CC(=O)N1CCC(c2cc(-c3cnc(N)c(-n4nnc5ccccc54)n3)n(C)n2)CC1,7.04
Cn1nc(-c2cnc(N)c(-c3cn[nH]c3)n2)nc1C1(c2ccccc2)CC1,6.96
CC(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)Nc1ccc(C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C(=O)NCCN2CCC(Cc3ccccc3)CC2)C(C)C)cc1,4.03
Cn1ccc2c(NC(=O)Cc3nc(N4CCOCC4)cc(=O)[nH]3)cccc21,6.18
CCNc1cc(/C=C/c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccn1,6.79
Cc1cc(F)ccc1NC(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,7.24
Cn1c(Cc2nc(N3CCOCC3)cc(=O)[nH]2)nc2cc(F)ccc21,7.8
CC1Cc2c(ccc(F)c2Cl)N1C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,9.0
N#Cc1cc2c(cn1)[nH]c1ncc(O)cc12,7.42
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1cccc(F)c1,7.13
CN1CCN(Cc2cccc3c2CCN3C(=O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)CC1,6.57
